"";"banalfreq";"X.gr_01";"X.gr_02"
"braço";12;0,9382;-0,9382
"pensar";48;-0,3441;0,3441
"audiência";14;-0,6523;0,6523
"seguinte";31;1,0508;-1,0508
"tribunal";13;-0,2126;0,2126
"produção";27;-0,6497;0,6497
"figura";19;0,5174;-0,5174
"construir";27;-0,3255;0,3255
"conduzir";10;-0,4659;0,4659
"1";79;-0,7612;0,7612
"mediador";14;-0,6523;0,6523
"determinado";23;-1,0717;1,0717
"estudo";26;1,3686;-1,3686
"voltar";93;-0,5869;0,5869
"civil";53;-0,4405;0,4405
"passar";154;1,6375;-1,6375
"maior";88;1,4993;-1,4993
"vizinho";25;1,9844;-1,9844
"ameaça";14;-0,2397;0,2397
"avaliar";14;-0,6523;0,6523
"copa";24;-1,1183;1,1183
"contribuir";11;0,5087;-0,5087
"enigma";12;-0,1864;0,1864
"r";12;-0,5591;0,5591
"ana";17;-0,7921;0,7921
"pro";34;1,2841;-1,2841
"ano";516;0,5609;-0,5609
"ideal";16;-0,7455;0,7455
"grátis";10;-0,4659;0,4659
"frio";11;1,0303;-1,0303
"prestar";14;-0,2397;0,2397
